43242;st1;54353;2019-08-26
543654;st2;534453;2019-09-17
123;123;123;2019-09-02
123;a;a;2019-09-05
fjh;djh;kjh;2019-09-18
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
1;1;1;2019-09-19
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
;;;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
;;;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
45566;test;test1;2019-01-01
755-39-2823;test;test1;2019-01-01
377-34-1234;test;test1;2019-01-01
113-95-7649;test;test1;2019-01-01
552-91-0427;test;test1;2019-01-01
757-41-4648;test;test1;2019-01-01
166-14-8922;test;test1;2019-01-01
338-40-9798;test;test1;2019-01-01
138-29-9240;test;test1;2019-01-01
705-14-7341;test;test1;2019-01-01
697-01-4362;test;test1;2019-01-01
046-80-7400;test;test1;2019-01-01
851-07-4127;test;test1;2019-01-01
479-10-0787;test;test1;2019-01-01
290-93-7382;test;test1;2019-01-01
228-02-4143;test;test1;2019-01-01
267-02-3543;test;test1;2019-01-01
293-50-2985;test;test1;2019-01-01
214-77-1352;test;test1;2019-01-01
288-30-0676;test;test1;2019-01-01
470-16-5750;test;test1;2019-01-01
335-38-9229;test;test1;2019-01-01
893-29-1477;test;test1;2019-01-01
274-07-7216;test;test1;2019-01-01
560-29-1889;test;test1;2019-01-01
518-18-8233;test;test1;2019-01-01
716-38-4339;test;test1;2019-01-01
605-68-1604;test;test1;2019-01-01
